macd_signal,rsi_signal,stoch_signal,status_signal,adx_signal,output
-1,0.0,-1.5,-0.9848005946580377,94.05197533034537,-1
-1,0.0,-1.5,-0.8543167736288253,94.43689474802277,-1
0,0.0,-1.5,-0.9134138768743891,94.7704915766765,-1
1,0.0,-1.5,-0.742922295071493,95.05960882817641,-1
1,0.0,-1.5,-0.7583966964337834,95.31017711280965,-1
1,0.0,-1.5,-0.8326555880247384,95.52733629282514,-1
1,0.0,-1.5,-0.999999999999976,95.83605314428189,-1
1,0.0,-1.5,-1.0000000000000238,96.18752448515737,-1
0,0.0,-1.5,-0.9895452888209703,96.49213298058278,-1
1,0.0,-1.5,-0.854787431675714,96.75612700995148,-1
1,0.0,-1.5,-0.8637276821560627,96.98492183540435,-1
1,0.0,-1.5,-0.9622990766968036,97.18321068413017,-1
1,0.0,-1.5,-0.9693444888812742,97.35506101969256,-1
0,0.0,-1.5,-1.0000000000000224,97.66627077678197,-1
1,0.0,-1.5,-0.8510820557585795,97.9359858995928,-1
0,0.0,-1.5,-0.9354840110845783,98.16973900602885,-1
1,0.0,-1.5,-0.8386565089398248,98.37232503160676,-1
1,0.0,-1.5,-0.757470340749502,98.54789958710762,-1
1,0.0,-1.5,-0.7885778225558309,98.70006420187502,-1
1,0.0,-1.5,-0.9010950110619329,98.8319402013401,-1
1,0.0,-1.5,-0.8677473386284575,98.94623273420984,-1
1,0.0,-1.5,-0.9219128847051913,99.04528626269695,-1
0,0.0,-1.5,-0.9782285913808704,99.13113265405245,-1
0,0.0,-1.5,-0.8948259611291314,99.20553285989388,-1
0,0.0,-1.5,-0.8975029130376173,99.27001303828979,0
-1,0.0,-0.7,-1.0,99.36376284230397,-1
-1,0.0,-0.7,-0.8890033644085273,99.4450126724496,-1
0,0.0,-1.5,-0.9318339400715226,99.51542919190913,0
0,0.0,-1.5,-1.0,99.57719494163248,0
0,0.0,-1.5,-1.0,99.63160041506097,0
0,-1.5,-1.5,-1.0,99.67932025879097,0
0,-1.5,-1.5,-0.9999999999999826,99.72104694962297,0
-1,-1.5,-1.5,-1.0,99.75739856510918,0
-1,-1.5,-1.5,-0.9999999999999832,99.78896909381407,0
-1,-1.5,-1.5,-0.9419631912235781,99.81633021869165,0
-1,-1.5,-1.5,-0.9059411776321656,99.84004319358554,0
-1,-1.5,-1.5,-1.000000000000016,99.86084824057558,0
-1,-1.5,-1.5,-1.0,99.87910262577573,0
0,-1.5,-1.5,-1.0,99.89493680972488,0
-1,-1.5,-1.5,-0.9999999999999855,99.90866308194282,0
-1,-1.5,-1.5,-0.9345771376295059,99.9205591845317,0
-1,-1.5,-1.5,-0.9999999999999855,99.93087179356296,0
-1,-1.5,-1.5,-0.9968280103888335,99.93980938805672,0
0,-1.5,-1.5,-0.9478390428833893,99.94755530328466,0
-1,-1.5,-1.5,-0.9316782702761139,99.95426842981553,0
0,-1.5,-1.5,-1.0000000000000144,99.96010675978914,0
0,-1.5,-1.5,-0.9255802080637424,99.96516664576626,0
0,-1.5,-1.5,-0.8406712988505533,99.96955188027977,0
0,-1.5,-1.5,-0.9037566242857334,99.97335241685815,0
0,-1.5,-1.5,-0.7405121621968472,87.38692571588433,0
0,-1.5,-1.5,-0.6615310716981284,80.39327512876265,0
0,-1.5,-1.5,-0.6907375041106989,74.33211128659053,0
0,-1.5,-1.5,-0.8055595524375205,69.0791026233747,0
0,-1.5,-1.5,-0.8528168961589643,64.5264951152543,0
0,-1.5,-0.7,-0.7891133757972029,60.58090194154996,0
1,-0.65,-0.39999999999999997,-0.7517141407870319,57.161387857672864,0
1,-0.65,-0.39999999999999997,-0.7726568761844692,54.19780898497938,0
1,-0.65,-0.39999999999999997,-0.7636976480783384,51.62937396197836,0
1,-0.65,-0.39999999999999997,-0.7103783541191054,49.40339694204414,0
1,-0.65,-0.39999999999999997,-0.7288388577944779,47.47421685810115,0
1,-0.65,-0.39999999999999997,-0.670493781436428,45.80226078535056,0
1,-0.65,-0.39999999999999997,-0.6082338099258097,49.17238259215304,0
1,-0.65,-0.39999999999999997,-0.6091969330059964,52.09315482471519,0
1,-0.65,-0.39999999999999997,-0.7583977419120502,54.62449075960239,0
1,-0.65,-0.39999999999999997,-0.8402412938880085,56.818315236504624,0
1,-0.65,-0.39999999999999997,-0.8083275627382832,58.71962978315323,0
0,-0.65,-0.39999999999999997,-0.9290858979330596,55.53660270631883,0
0,-0.65,-0.39999999999999997,-1.0,56.778260705407064,0
0,-0.65,-0.39999999999999997,-0.8882040645401207,57.854364304616865,0
0,-0.65,-0.7,-0.9852695517174885,58.78698742393203,0
0,-0.65,-1.5,-0.9938970645953124,59.59526079400518,0
0,-0.65,-1.5,-1.0,60.85950072832507,0
0,-0.65,-1.5,-0.984203871538418,61.95517533806897,0
0,-0.65,-1.5,-0.9365358382693256,62.904759999847016,0
0,-0.65,-1.5,-0.9652495130443165,63.72773337338799,0
0,-0.25,-1.5,-1.0000000000000142,64.79677844307754,0
-1,-0.25,-1.5,-0.9601398530302814,65.72328417014181,0
-1,-0.25,-1.5,-0.9041308607520304,66.52625580026418,0
0,-0.25,-1.5,-0.8334938588515459,67.22216454637024,0
0,-0.25,-1.5,-0.8810400344971512,67.82528545966215,0
0,-0.25,-1.5,-0.8407691233206676,68.34799025118181,0
0,-0.25,-1.5,-0.8338469336430047,68.80100107049886,0
0,-0.25,-1.5,-0.8865205784747335,69.19361044724029,0
0,-0.25,-1.5,-0.8575356783532562,69.53387190708287,0
0,-0.25,-0.39999999999999997,-0.8563094189780774,69.82876517227976,0
0,-0.25,-0.39999999999999997,-0.8155175679642553,62.28580100401335,0
0,-0.25,-0.39999999999999997,-0.8133328256181139,56.499194474256974,0
0,-0.25,-0.39999999999999997,-0.7524908733415732,58.79409163537507,0
0,-0.25,0.0,-0.6835340507896867,62.42759988501849,0
0,-0.25,0.0,-0.7408620542186524,65.57664036804279,0
0,-0.25,-0.39999999999999997,-0.7599048544831533,68.30580878666385,0
0,-0.25,-0.39999999999999997,-0.8068772714545113,70.6710880828021,0
0,-0.25,-0.39999999999999997,-0.8266698114120518,72.72099680612192,0
-1,-0.25,-0.39999999999999997,-0.9800073679077392,65.57737363830138,0
-1,-0.25,-0.39999999999999997,-0.8841409680071359,59.38623355952359,0
-1,-0.25,-0.39999999999999997,0.0,54.020578824582834,0
0,-0.25,-0.39999999999999997,1.0,49.370344720967516,1
1,-0.25,-0.39999999999999997,1.0,45.34014183116757,1
1,-0.25,-0.7,0.09267539971833741,41.84729932667429,1
0,-0.25,-0.3,-0.3701897865209907,38.820169156113444,1
0,-0.25,0.10000000000000003,-1.0,36.196656341627374,1
0,-0.25,0.10000000000000003,-0.7963820074638004,33.92294523573945,1
0,-0.25,0.10000000000000003,0.10211736286811836,31.95239561063658,1
1,-0.25,0.10000000000000003,0.2520344598867703,30.244585935547427,1
0,-0.25,0.4,-1.0,28.76448421713683,1
0,0.0,0.7,-1.0,34.25920729455414,1
0,0.0,0.10000000000000003,-1.0000000000001097,39.27144847314335,1
0,0.0,0.10000000000000003,-0.5180719175576161,43.61539082792068,1
-1,0.0,0.10000000000000003,-0.5520533114712317,47.38014086872769,1
-1,0.0,-0.19999999999999996,-0.9581451363004674,50.6429242374271,1
-1,0.0,-0.19999999999999996,-1.0,55.81851393398405,1
-1,0.0,-0.19999999999999996,-0.9041120949648699,60.304025004333404,1
-1,0.0,-0.19999999999999996,-0.5859361888189356,64.19146793196951,1
-1,0.0,-0.19999999999999996,-0.5572479472404404,67.56058513592082,1
-1,0.0,-1.5,-1.0000000000000733,71.16016199308156,1
-1,0.0,-1.5,-0.2662777997729982,74.27979526928753,1
-1,0.0,-1.5,-0.3229233889550176,76.98347744199938,1
0,0.0,-1.5,0.16126643033509927,74.05336376844801,1
0,0.0,-1.5,0.7190333828840468,68.34130438642143,1
0,0.0,-1.5,0.44720137377626257,63.39085292199839,1
0,0.0,-1.5,0.021619088422436587,59.100461652831754,1
0,0.0,-0.39999999999999997,0.8449911957879341,56.865639255563394,1
0,0.0,-0.39999999999999997,0.7298763901035439,54.92879317793082,1
1,0.0,-0.39999999999999997,1.0,55.13617694238186,1
1,0.0,0.0,1.0,56.399240827940474,0
1,0.0,0.4,1.0,59.796873676539164,0
1,0.0,0.7,1.0,63.36307166866965,0
0,1.5,1.5,1.0,67.08627477920851,0
0,1.5,1.5,1.0,70.51318930842046,0
1,1.5,1.5,1.0,73.77853235412366,0
1,1.5,1.5,0.8582242506600849,76.6084963270664,-1
1,1.5,1.5,0.9716024196975267,79.06113177028347,0
1,1.5,1.5,0.9614627260385357,81.18674915440492,-1
0,1.5,1.5,1.0,83.06599320532459,0
1,1.5,1.5,0.6878357577238305,84.6946713827883,0
1,1.5,1.5,0.7193986651633437,86.10619246992353,-1
1,1.5,1.5,0.7948334008895687,87.32951074544071,0
1,1.5,1.5,0.7076762681079437,88.38971991755561,0
0,1.5,1.5,0.6403381522172459,89.30856786672186,-1
0,1.5,1.5,0.68302698114782,90.10490275599928,-1
0,1.5,1.5,0.7663496659553367,90.7950596600397,-1
0,1.5,1.5,0.696092255940133,91.3931956435414,-1
0,1.5,1.5,0.45012634933155693,80.1150388845374,-1
0,0.65,0.7,0.48324799111269195,70.34063636006725,-1
0,0.65,0.7,0.6775382940692795,61.869487505526465,-1
0,0.65,0.7,0.5959275311019624,54.52782516492445,-1
0,0.65,0.39999999999999997,0.5015192614809888,48.1650511364027,-1
-1,0.65,0.39999999999999997,0.5522351903413664,42.65064697835052,-1
-1,0.65,0.39999999999999997,0.6025978088038042,37.871496708038634,-1
-1,0.65,0.39999999999999997,0.5217011369183941,33.72956647376833,-1
-1,0.65,0.39999999999999997,0.6167561090956785,30.1398936040674,-1
-1,0.65,0.39999999999999997,0.6706927939557857,27.02884378365993,-1
-1,0.65,0.39999999999999997,0.5569208514281376,24.33260060597345,-1
-1,0.65,0.7,0.5781158915794767,21.99585651864517,-1
-1,0.65,0.7,0.4788603516089304,19.97067830962733,-1
-1,0.65,0.7,0.5695199470678499,18.21552386181187,-1
-1,0.65,0.7,0.3926726330102587,24.611966909883876,-1
-1,0.65,0.39999999999999997,0.2479583743002296,32.64616457618693,-1
-1,0.65,0.39999999999999997,0.3861114586229022,39.60913588698291,-1
-1,0.65,0.39999999999999997,0.3418372858992458,45.643711023006105,-1
-1,0.65,0.39999999999999997,0.31129487480341794,50.87367614089287,-1
-1,0.65,0.0,0.22261936272592786,55.70161714285501,-1
-1,0.65,-0.4,0.3620140779436975,59.88583267788886,-1
-1,0.25,-0.4,0.2482413906432494,63.51215280825153,-1
-1,0.25,-0.4,0.31324788613288546,66.65496358789918,-1
-1,0.25,-0.4,0.10716301746754577,70.31172577276793,-1
