macd_signal,rsi_signal,stoch_signal,status_signal,output
-1,-1.5,-0.7,-1.0,1
0,-0.65,-1.5,-0.8828303138807176,1
0,-0.65,-1.5,-0.9863285952598315,1
0,-0.65,-1.5,-0.9143181457327924,1
0,-0.65,-1.5,-0.9812443076834361,1
0,-0.65,-1.5,-0.9070205210786659,1
0,-0.65,-1.5,-0.7931860805688551,1
0,-0.65,-1.5,-0.8818308075966961,1
0,-0.65,-1.5,-0.9362303669703476,1
0,-0.65,-1.5,-0.825387839865516,1
0,-0.65,-1.5,-0.7362547167907775,1
0,-0.65,-1.5,-0.7419548241785394,1
0,-0.65,-1.5,-0.6697798653341461,1
0,-0.65,-1.5,-0.6253572090325638,0
0,-0.65,-1.5,-0.43810156738920425,0
0,-0.30000000000000004,-0.7,-0.33471218863699664,0
1,-0.30000000000000004,-0.39999999999999997,-0.2332984308643144,0
1,0.5,-0.39999999999999997,-0.13696378228102865,0
1,0.5,0.0,-0.20724861811415615,0
1,0.5,0.4,-0.20140875789569004,0
1,0.5,0.0,-0.3402067870131827,0
1,0.5,-0.39999999999999997,-0.35660930866331864,0
1,0.5,-0.39999999999999997,-0.2981327751448419,0
1,0.5,-0.39999999999999997,-0.23442593990535718,0
1,0.75,-0.39999999999999997,-0.09369651172538314,0
1,1.5,-0.39999999999999997,-0.08889418355232857,0
1,1.5,0.0,0.056533206948095036,-1
1,1.5,0.4,0.01687146898686367,-1
1,1.5,-0.3,-0.15127960254116682,0
1,1.5,-1.5,-0.17366524974715844,0
0,1.5,-1.5,-0.1800349845243409,0
-1,1.5,-1.5,-0.16659593606896092,0
-1,1.5,-1.5,-0.21963341964583888,0
-1,1.5,-1.5,-0.19263032431531268,0
-1,1.5,-1.5,-0.3209070233317845,0
-1,1.5,-1.5,-0.2788435416053875,0
-1,1.5,-1.5,-0.21342679903911965,0
-1,0.65,-1.5,-0.21134607407335013,0
-1,0.65,-1.5,-0.22847709060986274,0
-1,0.65,-1.5,-0.21476725476677785,0
-1,0.65,-1.5,-0.2046045793595296,0
-1,0.65,-1.5,-0.12504325914869757,0
-1,0.65,-1.5,-0.17795461731473225,0
-1,0.65,-1.5,-0.31842376913646353,0
-1,0.65,-1.5,-0.3369568917685949,0
-1,0.65,-1.5,-0.35999694219791717,0
-1,0.65,-1.5,-0.30017788908473403,0
-1,0.65,-1.5,-0.2732170644723378,0
-1,0.65,-1.5,-0.3303662557926019,0
-1,0.65,-1.5,-0.3774863260463246,0
-1,0.65,-1.5,-0.49347196186583353,1
-1,0.65,-1.5,-0.6120516265151094,1
-1,0.65,-1.5,-0.6240655107306097,1
-1,0.65,-1.5,-0.5453715020028812,1
-1,0.65,-1.5,-0.4248451045091608,0
-1,0.65,-1.5,-0.4138214902108828,0
-1,0.65,-1.5,-0.388073685002667,0
-1,0.25,-1.5,-0.3688419497405301,0
-1,0.25,-1.5,-0.4460232095180686,0
0,0.25,-1.5,-0.4069042083608865,0
1,0.25,-1.5,-0.1847069692124764,0
1,0.25,-1.5,-0.30092017816466443,0
1,0.25,-1.5,-0.2359342411557301,0
1,0.25,-1.5,-0.051289988697300094,0
1,0.25,-1.5,-0.15661952971842372,0
1,0.25,-1.5,-0.16792682952832289,0
1,0.25,-1.5,-0.08857794763021434,0
1,0.25,-0.7,-0.07578330116725793,0
1,0.25,-0.39999999999999997,-0.0370164047755212,0
1,0.25,-0.39999999999999997,0.05987128544906224,0
1,0.25,-0.39999999999999997,-0.02079101800734885,0
1,0.25,-0.39999999999999997,-0.03546612317657354,0
1,0.25,-0.39999999999999997,-0.07339099901795416,0
1,0.25,-0.39999999999999997,-0.026343329770355795,0
1,0.25,-0.39999999999999997,-0.04732108571841055,0
1,0.25,-0.39999999999999997,-0.10924519635632826,0
0,0.25,-0.39999999999999997,-0.20121395116351734,1
0,0.25,-0.7,-0.1924848960736518,1
0,0.25,-1.5,-0.26566075671838074,1
0,0.25,-1.5,-0.20065976459481502,1
0,0.25,-1.5,-0.059742335212358916,1
0,0.25,-1.5,-0.12234956624628236,1
0,0.25,-1.5,-0.041499496705524795,1
0,0.25,-1.5,-0.13960728409601267,1
